GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api,PlanmonitorWonenDatabaseService.new Converter() {...},16,0,0,0,4,0,2,0,2,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api,PlanmonitorWonenDatabaseService.new SimplePropertyRowMapper() {...},24,0,0,0,4,0,2,0,2,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api,PlanmonitorWonenApiApplication,8,0,0,0,3,0,2,0,2,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api,PlanmonitorWonenDatabaseService,468,0,6,0,123,0,18,0,15,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api,ImportGemeentesApplication,136,0,2,0,30,0,5,0,4,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.model.auth,PlanmonitorAuthentication,106,0,8,0,28,0,10,0,6,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.configuration,PopulateTestData,186,0,4,0,62,0,6,0,4,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.configuration,MonitoringConfiguration,8,0,0,0,2,0,2,0,2,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.controller,GemeentesController,29,0,2,0,11,0,3,0,2,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.controller,HelloController.HelloResponse,9,0,0,0,1,0,1,0,1,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.controller,PlanregistratieController,386,0,36,0,87,0,26,0,8,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.controller,PlanregistratieAutofillController,350,0,12,0,89,0,17,0,11,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.controller,HelloController,49,0,2,0,14,0,4,0,3,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.security,TMASPIAuthenticationDetailsSource,8,0,0,0,2,0,2,0,2,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.security,ApiSecurityConfig,104,0,0,0,33,0,9,0,9,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.security,TMAPIAuthenticationToken,86,0,4,0,26,0,10,0,8,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.security,TMAPIAuthenticationDetails,29,0,0,0,8,0,3,0,3,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.security,TMAPIUserDetails,25,0,0,0,11,0,8,0,8,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.security,TMAPIAuthenticationProvider,70,0,2,0,24,0,9,0,8,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.security,TMAPIAuthenticationFilter,421,0,22,0,123,0,29,0,18,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.security,TMAPIUserDetailsService,30,0,0,0,7,0,4,0,4,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.model,Detailplanning,27,0,0,0,1,0,1,0,1,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.model,PlanregistratieComplete,12,0,0,0,1,0,1,0,1,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.model,Planregistratie,213,0,0,0,78,0,51,0,51,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.model,Gemeente,12,0,0,0,1,0,1,0,1,0
Planmonitor Wonen API,nl.b3p.planmonitorwonen.api.model,Plancategorie,45,0,0,0,1,0,1,0,1,0
